x1_norm	x2_norm	x3_norm	x4_norm	x5_norm	x6_norm	fault_label
0.084135	0.095853	0.108171	0.101279	0.083058	0.766996	8.000000
0.000000	0.023235	0.065285	0.832449	0.000000	0.117839	4.000000
0.085767	0.095808	0.050569	0.873428	0.109906	0.156184	6.000000
0.099044	0.000000	0.904839	0.168161	0.141456	0.035652	1.000000
0.151392	0.015008	0.125713	0.146129	0.802821	0.051244	5.000000
0.141841	0.065280	0.152734	0.950998	0.017966	0.151800	6.000000
0.782825	0.089562	0.293898	0.075306	0.016280	0.099222	6.000000
0.657527	0.057900	0.187525	0.046249	0.153023	0.000000	3.000000
0.116303	0.946915	0.079808	0.141742	0.123370	0.094855	3.000000
0.161753	0.056092	0.979337	0.000000	0.097394	0.137188	1.000000
0.885617	0.000000	0.239136	0.011246	0.116456	0.027884	1.000000
0.131701	0.136203	0.089373	0.112648	0.093417	0.801577	6.000000
0.049982	0.092055	0.040460	0.656813	0.018432	0.167873	4.000000
0.087516	0.127502	0.114081	0.929257	0.123635	0.187989	6.000000
0.954634	0.096801	0.169767	0.000000	0.152849	0.022340	2.000000
0.116220	0.009908	0.000000	0.862841	0.044295	0.158503	6.000000
0.828473	0.067437	0.170807	0.111158	0.067421	0.054920	3.000000
0.829576	0.093809	0.218149	0.130465	0.106262	0.076196	3.000000
0.040053	0.074110	0.800363	0.002298	0.148693	0.088820	6.000000
0.037543	0.057866	0.146437	0.874801	0.162476	0.121302	6.000000
0.096395	0.007219	0.060905	0.883882	0.124079	0.171450	6.000000
0.093196	0.099057	0.803097	0.012564	0.027420	0.113900	6.000000
0.113520	0.082151	0.000804	0.850551	0.021735	0.168924	4.000000
0.004990	0.062956	0.034158	0.808118	0.110052	0.095411	4.000000
0.016447	0.929556	0.126489	0.067200	0.138181	0.118603	6.000000
1.000000	0.064565	0.088521	0.153066	0.090207	0.114659	6.000000
0.821426	0.043803	0.348934	0.092270	0.138437	0.115939	1.000000
0.213145	0.042964	0.093625	0.118110	0.056499	1.000000	5.000000
0.143674	0.045568	0.051217	0.190863	0.158151	0.943312	6.000000
0.080281	0.109608	0.041682	0.169830	0.155272	0.901782	7.000000
0.060145	0.086734	0.971511	0.134335	0.076305	0.105327	6.000000
0.082565	0.929572	0.121891	0.042862	0.000000	0.094164	3.000000
0.134598	0.826606	0.033682	0.093894	0.064029	0.132157	6.000000
0.028120	0.031306	0.054018	0.082169	0.057644	0.749908	4.000000
0.041173	0.035110	0.014540	0.003771	0.819121	0.013564	5.000000
0.100986	0.113808	0.062625	0.878560	0.090151	0.123665	6.000000
0.061681	0.024149	0.869179	0.054161	0.097139	0.065279	6.000000
0.028546	0.060341	0.117805	0.098511	0.046370	0.723200	6.000000
0.000000	0.098590	0.132583	0.088746	0.089696	0.774825	6.000000
0.758699	0.083057	0.237639	0.022007	0.032437	0.091360	6.000000
1.000000	0.070214	0.170777	0.036375	0.000000	0.018040	1.000000
0.864751	0.072552	0.191141	0.034820	0.083577	0.058807	2.000000
0.098308	0.103627	0.070393	0.079370	0.074697	0.843495	6.000000
0.767768	0.066700	0.263455	0.057426	0.003952	0.081201	2.000000
0.140678	0.026398	0.040632	0.185543	0.086977	0.840000	4.000000
0.083650	0.067199	0.092517	0.050262	0.072948	0.965420	6.000000
0.692906	0.096118	0.223528	0.017482	0.007905	0.089503	6.000000
0.121860	0.066781	0.027180	0.116149	0.094017	0.857175	8.000000
0.937288	0.075527	0.032197	0.069232	0.057645	0.026527	3.000000
0.130752	0.000000	0.047061	0.899329	0.070210	0.100231	6.000000
0.082504	0.032833	1.000000	0.064073	0.003730	0.017941	1.000000
0.999725	0.196799	0.123763	0.146529	0.035243	0.082006	1.000000
0.920562	0.143508	0.076644	0.099518	0.099570	0.088763	2.000000
0.007479	0.004069	0.715987	0.074493	0.015525	0.120785	1.000000
0.110422	0.101486	0.092730	0.707380	0.150883	0.021700	4.000000
0.033950	0.098471	0.749992	0.065047	0.161558	0.023863	6.000000
0.761393	0.118121	0.241358	0.041393	0.153640	0.094138	1.000000
0.718547	0.064552	0.180039	0.106898	0.080339	0.024706	2.000000
0.087608	0.029392	0.054042	0.925999	0.078388	0.031714	4.000000
0.098753	0.115053	0.106904	0.000000	0.923901	0.139062	5.000000
0.000000	0.809574	0.110474	0.107146	0.116494	0.004319	3.000000
0.116033	0.128855	0.093088	0.213553	0.014256	0.883145	4.000000
0.887251	0.038439	0.240409	0.014661	0.064884	0.046663	6.000000
0.852319	0.020436	0.190366	0.000000	0.025858	0.027674	2.000000
0.113913	0.142803	0.042009	0.184021	0.095681	0.770261	6.000000
0.073912	0.019603	0.058740	0.104697	0.084174	0.931731	8.000000
0.067291	0.113299	0.055941	0.241087	0.065259	0.784568	8.000000
0.828839	0.074902	0.090069	0.128358	0.041884	0.115696	6.000000
0.017740	0.048489	0.043418	0.980810	0.118529	0.199611	6.000000
0.138021	0.014049	0.000000	0.232173	0.126772	0.776797	6.000000
0.005940	0.097775	0.012555	0.944343	0.111274	0.113271	4.000000
0.930798	0.045652	0.007733	0.066192	0.013378	0.052562	1.000000
0.041011	0.110417	0.824127	0.088628	0.148253	0.126394	6.000000
0.794570	0.107279	0.209933	0.070439	0.107949	0.170041	2.000000
0.019109	0.039023	0.682875	0.120723	0.055678	0.099802	6.000000
0.035896	0.039126	0.068680	0.090123	0.761958	0.168058	5.000000
0.086358	0.012761	0.031440	0.907334	0.115642	0.144903	4.000000
0.123266	0.157197	0.010177	0.942411	0.094153	0.081551	6.000000
0.756768	0.029777	0.075142	0.126421	0.000000	0.017007	2.000000
0.000460	0.171110	0.080154	0.766092	0.157359	0.002912	6.000000
0.764170	0.113866	0.251656	0.145977	0.093671	0.100304	3.000000
0.569327	0.040227	0.219528	0.045159	0.058957	0.173846	2.000000
0.927701	0.146714	0.106995	0.111096	0.112329	0.119931	1.000000
0.832615	0.041173	0.233516	0.068700	0.097163	0.129420	1.000000
0.076402	0.756047	0.112093	0.104326	0.037589	0.187587	3.000000
0.811092	0.000000	0.054061	0.103140	0.078830	0.000000	2.000000
0.103820	0.069707	0.074852	1.000000	0.076181	0.186812	6.000000
0.854502	0.153389	0.134327	0.127427	0.053805	0.106649	1.000000
0.964036	0.051998	0.170693	0.097401	0.101582	0.132148	2.000000
0.000000	0.134721	0.063524	0.183459	0.132894	0.729496	7.000000
0.046453	0.028127	0.145300	0.186456	0.112476	0.773526	7.000000
0.020893	0.019280	0.120981	0.120333	0.126956	0.988957	5.000000
0.051900	0.083514	0.036477	0.886109	0.084918	0.265852	6.000000
0.046114	0.163368	0.104336	0.162194	0.101547	1.000000	7.000000
0.015650	0.028918	0.016760	0.117545	0.146550	0.707877	6.000000
